start_id,end_id,relationship_type
8c7b0bc0-270f-4d32-b3c7-6b21403336f1,c737a041-c713-43f6-8205-f409b349e2b6,FAVORITE_PLAYER
f78f965c-de40-46a6-b6b8-19abfb4ee692,473d4c85-cc2c-4020-9381-c49a7236ad68,FAVORITE_PLAYER
268aa97d-ab1d-42dd-8cb7-1b5a6c3db352,3227c040-7d18-4803-b4b4-799667344a6d,FAVORITE_PLAYER
f3e89711-c141-4aed-a69d-6afacf6c531b,89531f13-baf0-43d6-b9f4-42a95482753a,FAVORITE_PLAYER
f3e89711-c141-4aed-a69d-6afacf6c531b,61a0a607-be7b-429d-b492-59523fad023e,FAVORITE_PLAYER
6ab4700a-5cba-4f2c-a3e8-033d9b14dfcf,3fe4cd72-43e3-40ea-8016-abb2b01503c7,FAVORITE_PLAYER
6ab4700a-5cba-4f2c-a3e8-033d9b14dfcf,7774475d-ab11-4247-a631-9c7d29ba9745,FAVORITE_PLAYER
d9a97054-3671-4dc3-a8e3-083910fe9a6d,262ea245-93dc-4c61-aa41-868bc4cc5dcf,FAVORITE_PLAYER
deb57fea-56eb-4531-addb-cc83e05e6aa6,4ca8e082-d358-46bf-af14-9eaab40f4fe9,FAVORITE_PLAYER
deb57fea-56eb-4531-addb-cc83e05e6aa6,26e72658-4503-47c4-ad74-628545e2402a,FAVORITE_PLAYER
f6bac2e7-eb9b-4e4e-9656-d2ce87d919c0,44b1d8d5-663c-485b-94d3-c72540441aa0,FAVORITE_PLAYER
f6bac2e7-eb9b-4e4e-9656-d2ce87d919c0,67214339-8a36-45b9-8b25-439d97b06703,FAVORITE_PLAYER
f6bac2e7-eb9b-4e4e-9656-d2ce87d919c0,26e72658-4503-47c4-ad74-628545e2402a,FAVORITE_PLAYER
7700a3f6-791d-44d0-9721-136f4f0c6291,00d1db69-8b43-4d34-bbf8-17d4f00a8b71,FAVORITE_PLAYER
13ae2c2b-3969-4a70-b36e-75518e981724,a9f79e66-ff50-49eb-ae50-c442d23955fc,FAVORITE_PLAYER
13ae2c2b-3969-4a70-b36e-75518e981724,c800d89e-031f-4180-b824-8fd307cf6d2b,FAVORITE_PLAYER
13ae2c2b-3969-4a70-b36e-75518e981724,741c6fa0-0254-4f85-9066-6d46fcc1026e,FAVORITE_PLAYER
781b7872-1794-43d0-8ecf-a717bc5fcb28,cb00e672-232a-4137-a259-f3cf0382d466,FAVORITE_PLAYER
dfe4de2d-a94b-4f5a-be61-1a573776e26b,577eb875-f886-400d-8b14-ec28a2cc5eae,FAVORITE_PLAYER
26da8620-6b24-44b0-8fb0-1b30205cdfe2,f51beff4-e90c-4b73-9253-8699c46a94ff,FAVORITE_PLAYER
205ce9bb-7230-4ccc-8e3b-391e04ed54dc,5162b93a-4f44-45fd-8d6b-f5714f4c7e91,FAVORITE_PLAYER
bd053ebb-8967-46f1-a1a2-3fee960512da,b7c1b4e2-4d9c-47cc-8ac2-b6e0d2493157,FAVORITE_PLAYER
bd053ebb-8967-46f1-a1a2-3fee960512da,7774475d-ab11-4247-a631-9c7d29ba9745,FAVORITE_PLAYER
bd053ebb-8967-46f1-a1a2-3fee960512da,26e72658-4503-47c4-ad74-628545e2402a,FAVORITE_PLAYER
5f78a64b-0b1d-4837-b0c1-583df888955f,ad391cbf-b874-4b1e-905b-2736f2b69332,FAVORITE_PLAYER
79728ea0-6089-4790-9853-11a6d1fb3ce7,14026aa2-5f8c-45bf-9b92-0971d92127e6,FAVORITE_PLAYER
79728ea0-6089-4790-9853-11a6d1fb3ce7,f51beff4-e90c-4b73-9253-8699c46a94ff,FAVORITE_PLAYER
79728ea0-6089-4790-9853-11a6d1fb3ce7,27bf8c9c-7193-4f43-9533-32f1293d1bf0,FAVORITE_PLAYER
36381db1-4372-4d7b-bb3a-2c75924e14cf,4ca8e082-d358-46bf-af14-9eaab40f4fe9,FAVORITE_PLAYER
36381db1-4372-4d7b-bb3a-2c75924e14cf,e5950f0d-0d24-4e2f-b96a-36ebedb604a9,FAVORITE_PLAYER
1ba69b52-f262-4772-8623-f1c0a21bbeef,1537733f-8218-4c45-9a0a-e00ff349a9d1,FAVORITE_PLAYER
7ef1a8b4-c06a-4084-9953-755311098b42,9328e072-e82e-41ef-a132-ed54b649a5ca,FAVORITE_PLAYER
7ef1a8b4-c06a-4084-9953-755311098b42,4ca8e082-d358-46bf-af14-9eaab40f4fe9,FAVORITE_PLAYER
7ef1a8b4-c06a-4084-9953-755311098b42,fe86f2c6-8576-4e77-b1df-a3df995eccf8,FAVORITE_PLAYER
