Chapter Name,Team,Address,City,State,Zip Code,Address
,,,Yuma,AZ,,
,,,Fremont,california,,
,,,Orlando,FL,,
,,,517 E Gore Blvd,OK,,
,,,Alameda,CA,,
,,,Gilroy,CA,,
,,,Merced,CA,,
,,,Buena park,CA,,
,,,Milpitas,CA,,
,,,san francisco,California,,
,,,Denver,Co,,
,,,Tlalnepantla de Baz,CA,,
,,,Modesto,CA,,
,,,Auburn,Wa,,
,,,Phoenix,AZ,,
,,,Montclair,California,,
,,,Woodbridge,va,,
,,,Hemet,CA,,
,,,Arlington,TX,,
,,,Los Angeles,CA,,
,,,San Pablo,Ca,,
,,,Oakley,Ca,,
,,,Mechanicsville,Va,,
,,,Billings,MT,,
,,,Waipahu,HI,,
,,,Porterville,Ca,,
,,,CHICOPEE,MA,,
,,,Norfolk,VA,,
,,,Visalia,Ca,,
,,,Ewing Twp,NJ,,
,,,Houston,TX,,
,,,Honolulu,HI,,
,,,Murrieta,CA,,
,,,Sacramento,CA,,
,,,Huntington Beach,CA,,
,,,Saltillo,TX,,
,,,Memphis,TN,,
,,,KEYES,CA,,
,,,Manteca,Ca,,
,,,Las Vegas,NV,,
,,,Washington,DC,,
,,,Roseville,CA,,
,,,Bakersfield,Ca,,
,,,Salinas,CA,,
,,,Salinas,CA,,
,,,Houston,TX,,
,,,Mountain View,CA,,
,,,Corpus Christi,TX,,
,,,Dade City,Florida,,
,,,Chico,CA,,
,,,Chicago,IL,,
,,,Sacramento,CA,,
,,,Colorado Springs,Co.,,
,,,Greensboro,NC,,
,,,Redmond,OR,,
,,,Carson,CA,,
,,,Mattoon,Illinois,,
,,,Star,ID,,
,,,stamford,ct,,
,,,Miami,FL,,
,,,San Francisco,CA,,
,,,Oxnard,CA,,
,,,Arlington,TX,,
,,,Albuquerque,NM,,
,,,Honolulu,Hawaii,,
,,,Jonesboro,AR,,
,,,Marietta,ga,,
,,,San Diego,CA,,
,,,Maricopa,AZ,,
,,,Syracuse,NY,,
,,,Ventura,CA,,
,,,Fredericksburg,VA,,
,,,tampa,fl,,
,,,Rochester,New York,,
,,,Waco,TX,,
,,,Brentwood,CA,,
,,,Lancaster,PA,,
,,,El Paso,Tx,,
,,,West Sacramento,CA,,
,,,Los Angeles,CA,,
,,,Denver,CO,,
,,,Frisco,TX,,
,,,Fairfield,CA,,
,,,Redding,CA,,
,,,Fremont,CA,,
,,,Fargo,ND,,
,,,Redding,CA,,
,,,Summerville,South Carolina,,
,,,Port St Johns,FL,,
,,,San Bernardino,CA,,
,,,REDLANDS,CALIFORNIA,,
,,,Bakersfield,Ca,,
,,,Los Angeles,ca,,
,,,Troy,OH,,
,,,San Bernardino,California,,
,,,Elk Grove,CA,,
,,,Hacienda heights,CA,,
,,,Homestead,Fl,,
,,,Chandler,AZ,,
,,,EDINBURG,TX,,
,,,Manhattan,KS,,
,,,Buena park,CA,,
,,,Bedford,TX,,
,,,Hilmar,Ca,,
,,,Bridgeport,WV,,
,,,Carbondale,IL,,
,,,HONOLULU,HI,,
,,,Honolulu,HI,,
,,,Houston,Tx,,
,,,Hattiesburg,Mississippi,,
,,,Duluth,GA,,
,,,Yonkers,New York,,
,,,Salinas,Ca,,
,,,Clackamas,Oregon,,
,,,Nassau Bay,TX,,
,,,Brisbane,Ca,,
,,,Boston,MA,,
,,,Boston,MA,,
,,,Riverside,California,,
,,,Monroe,La.,,
,,,Austin,TX,,
,,,San Antonio,TX,,
,,,Spokane,WA,,
,,,Newport Beach,CA,,
,,,Henderson,NV,,
,,,Turlock,CA,,
,,,San Jose,CA,,
,,,merced,ca,,
,,,Brawley,CA,,
,,,TOOELE,UT,,
,,,Wichita,KS,,
,,,Hickory,NC,,
,,,Chicago,IL,,
,,,Vancouver,WA,,
,,,Hampton,VA,,
,,,Newport,KY,,
,,,Oklahoma City,Oklahoma,,
,,,Wine country,CA,,
,,,Memphis,Tennessee,,
,,,North Charleston,SC,,
,,,Tampa,FL,,
,,,Palm Springs,CA,,
,,,Anchorage,AK,,
,,,Surprise,Az,,
,,,Bloomington,CA,,
,,,McAllen,TX,,
,,,West Sacramento,CA,,
,,,Industry,CA,,
,,,Hayward,Ca,,
,,,Chariton,Iowa,,
,,,Fresno,CA,,
,,,East Hartford,Connecticut,,
,,,Houston,Texas,,
,,,Houston,Texas,,
,,,Industry,CA,,
,,,porterville,CA,,
,,,Billings,MT,,
,,,Memphis,Tn,,
,,,Tulsa,OK,,
,,,Oklahoma City,OK,,
,,,Brawley,Ca,,
,,,Gilbert,AZ,,
,,,Lacey,WA,,
,,,Mechanicsville,Virginia,,
,,,Tampa,FL,,
,,,Missoula,MT,,
,,,Corpus Christi,Texas,,
,,,Delano,ca,,
,,,Nashville,TN,,
,,,New York,New York,,
,,,hesperia,California,,
,,,Denver,Colorado,,
,,,Windsor,CO,,
,,,Wauwatosa,WI,,
,,,san angelo,tx,,
,,,Devol,OK,,
,,,Xenia,Ohio,,
,,,Cheyenne,WY,,
,,,Apple Valley,CA,,
,,,Socorro,TX,,
,,,Albuquerque,N.M.,,
,,,Casa grande,Arizona(AZ),,
,,,Albuquerque,New Mexico,,
,,,Long Beach,Ca,,
,,,Charlotte,North Carolina,,
,,,Saint Paul,MN,,
,,,Jackson,Ms.,,
,,,Pleasant Hill,California,,
,,,mesa,az,,
,,,San Antonio,TX,,
,,,Jonesboro,AR,,
,,,Raleigh,North Carolina,,
,,,Greensboro,NC,,
,,,Hanford,CA,,
,,,Rio Rancho,NM,,
,,,San Jose,CA,,
,,,moreno valley,ca,,
,,,San Antonio,Texas,,
,,,Tucson,AZ,,
,,,Glendale,Arizona,,
,,,el paso,tx,,
,,,Henderson,Nevada,,
,,,Salem,OR,,
,,,San Antonio,Texas,,
,,,Medford,OR,,
,,,Toledo,Ohio,,
,,,Las Vegas,NV,,
,,,las vegas,NV,,
,,,Brawley,CA,,
,,,La Quinta,CA,,
,,,Santa Clara,CA,,
,,,Chicago,IL,,
,,,Jersey City,New Jersey,,
,,,Bayonne,NJ,,
,,,Coeur d'Alene,ID,,
,,,Ellensburg,WA,,
,,,Herndon,VA,,
,,,Austin,Texas,,
,,,new york,ny,,
,,,Madera,CA,,
,,,Austin,TX,,
,,,MORENO VALLEY,CA,,
,,,Chicopee,MA,,
,,,Portland,OR,,
,,,dansville,NY,,
,,,PORTERVILLE,CA,,
,,,Solana Beach,CA,,
,,,Culver City,CA,,
,,,Casa grande,Arizona(AZ),,
,,,Prescott,AZ,,
,,,Honolulu,Hawaii,,
,,,Portland,OR,,
,,,Antioch,Ca,,
,,,Pleasanton,California,,
,,,New York,New York,,
,,,Yakima,Wa,,
,,,Aurora,CO,,
,,,Gardena,Ca,,
,,,Downey,CA,,
,,,EastHartford,CO,,
,,,Sandy Springs,GA,,
,,,Reno,Nv,,
,,,South San Francisco,Ca,,
,,,Colma,CA,,
,,,Winchester,CA,,
,,,Riverside,California,,
,,,Ankeny,IA,,
,,,Nashville,TN,,
,,,Leavenworth,KS,,
,,,Fair Oaks,Ca,,
,,,Baton Rouge,LA,,
,,,Visalia,Ca,,
,,,Greeley,co,,
,,,Cupertino,California,,
,,,San Diego,CA,,
,,,Apache Junction,AZ,,
,,,Windsor,CA,,
,,,Canfield,OH,,
,,,Everett,WA,,
,,,Durham,North Carolina,,
,,,Boynton Beach,Florida,,
,,,Red Bluff,CA,,
,,,Finley,Washington,,
,,,Lake Elsinore,CA,,
,,,Barnegat,NJ,,
,,,Santa Fe,New Mexico,,
,,,Maricopa,AZ,,
,,,Davie,FL,,
,,,Lubbock,Texas,,
,,,Honolulu,HI,,
,,,Portland,OR,,
,,,Oakland Park,FL,,
,,,Tracy,Ca,,
,,,medford,or,,
,,,Cameron park,CA,,
,,,piqua,OH,,
,,,Oceanside,ca,,
,,,Trenton,New Jersey,,
,,,Concord,NH,,
,,,Fontana,Ca,,
,,,Arcadia,CA,,
,,,Fresno,California,,
,,,Eugene,OR,,
,,,Linden,NJ,,
,,,Rochester,NY,,
,,,Moreno Vallay,CA,,
,,,Oklahoma city,OK,,
,,,napa,California,,
,,,Star,ID,,
,,,Newport news,VA,,
,,,Salem,OR,,
,,,Bell,Ca,,
,,,Bossier City,LA,,
,,,Pembroke pines,Florida,,
,,,Salt Lake City,UT,,
,,,Phoenix,AZ,,
,,,Carson,CA,,
,,,Addison,Texas,,
,,,Vancouver,Wa,,
,,,Woodland,CA,,
,,,Cicero,New York,,
,,,Durango,CO,,
,,,Gilbert,AZ,,
,,,Guadalajara,TX,,
,,,Charleston,WV,,
,,,Saddle Brook,NJ,,
,,,Sunnyvale,CA,,
,,,Indianapolis,IN,,
49ers Aguascalientes,,,Aguascalientes,,,"Aguascalientes Mexico Vikingo Bar Av de la Convención de 1914 Sur 312-A, Las Américas, 20230 Aguascalientes, Ags., Mexico"
Bajio Faithful,,,"Celaya, GTO",,,"Celaya, GTO Mexico California Prime Rib Restaurant Av. Constituyentes 1000 A, 3 Guerras, 38080 Celaya, Gto., Mexico"
Niner Empire Chiapas,,,Chiapas,,,"Chiapas Mexico Alitas Tuxtla Blvd. Belisario Dominguez 1861 Loc K1 Tuxtl Fracc, Bugambilias, 29060 Tuxtla Gutiérrez, Chis., Mexico"
49ers Faithful Chihuahua Oficial,,,Chihuahua,,,"Chihuahua Mexico El Coliseo Karaoke Sports Bar C. Jose Maria Morelos 111, Zona Centro, 31000 Chihuahua, Chih., Mexico"
Gold Rush Chihuahua Spartans,,,Chihuahua,,,"Chihuahua Mexico 34 Billiards & Drinks Av. Tecnológico 4903, Las Granjas 31100"
Club 49ers Mexico,,,"Ciudad de Mexico, Mexico",,,"Ciudad de Mexico, Mexico Mexico Bar 49 16 Septiembre #27 Colonia Centro Historico Ciudad de Mexico"
Club 49ers Durango Oficial,,,Durango,,,"Durango Mexico Restaurante Buffalucas Constitución C. Constitución 107B, Zona Centro, 34000 Durango, Dgo., Mexico"
Niner Empire Edo Mex,,,Estado de Mexico,,,"Estado de Mexico Mexico Beer Garden Satélite Cto. Circunvalación Ote. 10-L-4, Cd. Satélite, 53100 Naucalpan de Juárez, Méx., Mexico"
Club 49ers Jalisco,,,"Guadalajara, Jalisco",,,"Guadalajara, Jalisco Mexico Restaurante Modo Avión Zapopan Calzada Nte 14, Granja, 45010 Zapopan, Jal., Mexico"
Niner Empire Jalisco,,,"Guadalajara, Jalisco",,,"Guadalajara, Jalisco Mexico SkyGames Sports Bar Av. Vallarta 874 entre Camarena y, C. Escorza, Centro, 44100 Guadalajara, Jal., Mexico"
Niner Empire Juarez Oficial,,,Juarez,,,"Juarez Mexico Sport Bar Silver Fox Av. Paseo Triunfo de la República 430, Las Fuentes, 32530 Juárez, Chih., Mexico"
49ers Merida Oficial,,,Merida,,,"Merida Mexico Taproom Mastache Av. Cámara de Comercio 263, San Ramón Nte, 97117 Mérida, Yuc., Mexico"
Niner Empire Mexicali,,,Mexicali,,,"Mexicali Mexico La Gambeta Terraza Sports Bar Calz. Cuauhtémoc 328, Aviación, 21230 Mexicali, B.C., Mexico"
49ers Monterrey Oficial,,,Monterrey,,,"Monterrey Mexico Buffalo Wild Wings Insurgentes Av Insurgentes 3961, Sin Nombre de Col 31, 64620 Monterrey, N.L., Mexico"
Club 49ers Puebla,,,Puebla,,,"Puebla Mexico Bar John Barrigón Av. Juárez 2925, La Paz, 72160 Heroica Puebla de Zaragoza, Pue., Mexico"
Niners Empire Saltillo,,,Saltillo,,,"Saltillo Mexico Cervecería La Huérfana Blvd. Venustiano Carranza 7046-Int 9, Los Rodríguez, 25200 Saltillo, Coah., Mexico"
San Luis Potosi Oficial,,,San Luis Potosi,,,"San Luis Potosi Mexico Bar VIC Av Nereo Rodríguez Barragán 1399, Fuentes del Bosque, 78220 San Luis Potosí, S.L.P., Mexico"
49ers Tijuana Fans Oficial,,,Tijuana,,,"Tijuana Mexico Titan Sports Bar J. Gorostiza 1209, Zona Urbana Rio Tijuana, 22320 Tijuana, B.C., Mexico"
49ers Club Toluca Oficial,,,Toluca,,,"Toluca Mexico Revel Wings Carranza Calle Gral. Venustiano Carranza 20 Pte. 905, Residencial Colón y Col Ciprés, 50120 Toluca de Lerdo, Méx., Mexico"
Cluib de Fans 49ers Veracruz,,,Veracruz,,,"Veracruz Mexico Wings Army del Urban Center C. Lázaro Cárdenas 102, Rafael Lucio, 91110 Xalapa-Enríquez, Ver., Mexico"
49ersFanZone.net,,,Bad Vigaun,,,Bad Vigaun Austria Neuwirtsweg 315
The Niner Empire France,,,Nousseviller Saint Nabor,,,Nousseviller Saint Nabor France 4 voie romaine 4 voie romaine
Niner Empire Germany-Bavaria Chapter,,,Ismaning,,,Ismaning Germany 49er's Sports & Partybar Muenchener Strasse 79
4T9 Mob Germany Family,,,Hamburg,,,Hamburg Germany Jolly Roger Budapester Str. 44
49 Niner Empire,,,Cologne State: NRW,,,Cologne State: NRW Germany Joe Camps Sports Bar Joe Champs
The Niner Empire Germany Berlin Chapter,,,Berlin,,,Berlin Germany Sportsbar Tor133 Torstrasse 133
,,,BornhÃ¶ved,,,BornhÃ¶ved Germany Comeback Bar MÃ¼hlenstraÃŸe 11
49ers Fans Bavaria,,,Ampfing,,,Ampfing Germany Holzheim 1a/Ampfing Holzheim 1a
The Niner Empire Germany - North Rhine-Westphalia Chapter,,,Duesseldorf,,,Duesseldorf Germany Knoten Kurze Strasse 1A
Niner Empire Germany-NRW Chapter,,,Cologne,,,Cologne Germany Joe Champs Sportsbar Cologne Hohenzollernring 1 -3
The Irish Faithful,,,Dublin 13,,,Dublin 13 Ireland Busker On The Ball 13 - 17 Fleet Street
49ers Italian Fan Club,,,Fiorano Modenese,,,"Fiorano Modenese Italy The Beer Corner Via Roma, 2/A"
Mineros Spanish Faithful,,,Madrid,,,Madrid Spain Penalti Lounge Bar Avenida Reina 15
Equipe Sports SF,,,Sao Paulo,,,"Sao Paulo Brazil Website, Podcast, Facebook Page, Twitter Rua Hitoshi Ishibashi, 11 B"
49ers Brasil,,,"Campo Limpo, Sao Paulo",,,"Campo Limpo, Sao Paulo Brazil Bars and Restaurants in SÃ£o Paulo - SP"
San Francisco 49ers Brasil,,,"Sao Bernardo do Campo, Sao Paulo",,,"Sao Bernardo do Campo, Sao Paulo Brazil Multiple locations around south and southeast states of Brazil"
"Niner Empire --Vanouver,BC Chapter",,,"Vancouver, BC",,,"Vancouver, BC Canada The Sharks Club--Langley, BC 20169 88 Avenue"
True North Niners,,,"Bolton, Ontario",,,"Bolton, Ontario Canada Maguire's Pub 284 Queen st E"
Faithful Panama,,,,,,Panama 5inco Panama 8530 NW 72ND ST
Niner Empire New Zealand,,,Auckland,,,Auckland New Zealand The Kingslander 470 New North Road
49er Fans-Tonga,,,Nuku'alofa,,,Nuku'alofa Tonga Tali'eva Bar 14 Taufa'ahau Rd
49ers Faithful UK,,,Greater Manchester,,,Greater Manchester United Kingdom the green Ducie street Manchester Greater Manchester Lancashire m1 United Kingdom
49er Faithful UK,,,Newcastle,,,Newcastle United Kingdom Grosvenor Casino 100 St James' Blvd Newcastle Tyne & Wear CA 95054 United Kingdom
49ers of United Kingdom,,,London,,,London United Kingdom The Sports Cafe 80 Haymarket London SW1Y 4TE United Kingdom
Niner Empire UK,,,Manchester,,,"Manchester United Kingdom The Green Bridge House 26 Ducie Street, Manchester, Manchester M1 2dq United Kingdom"
"San Francisco 49er Fans of Charleston, SC",,,Charleston,SC,,Charleston SC United States Recovery Room Tavern 685 King St
530 Empire,,,Chico,Ca,,Chico Ca United States Nash's 1717 Esplanade
303 Denver Chapter Niner Empire,,,Aurora,CO,,Aurora CO United States Moes Bbq 2727 s Parker rd
40NINERS L.A. CHAPTER,,,bell,ca,,bell ca United States KRAZY WINGS SPORTS & GRILL 7016 ATLANTIC AVE
434 Virginia Niner Empire,,,Danville,VA,,Danville VA United States Kickbacks Jacks 140 Crown Dr
480 Gilbert Niner Empire LLC,,,Gilbert,AZ,,Gilbert AZ United States The Brass Tap 313 n Gilbert rd
Midwest Empire,,,Evansville,IN,,Evansville IN United States Hooters (Evansville) 2112 Bremmerton Dr
49er Booster Club of Vacaville,,,Vacaville,CA,,Vacaville CA United States Blondies Bar and Grill 555 Main Street
49er Empire High Desert,,,Hesperia,California,,Hesperia California United States Whiskey Barrel 12055 Mariposa Rd.
Cool 49er Booster Club,,,Cool,CA,,Cool CA United States The Cool Beerworks 5020 Ellinghouse Dr Suite H
49ersBeachCitiesSoCal,,,Hermosa Beach,CA,,Hermosa Beach CA United States American Junkie Sky Light Bar American Junkie
49ers Denver Empire,,,Aurora,Co,,Aurora Co United States Moe's Original BBQ Aurora 2727 S Parker Rd
49ers Forever Faithfuls,,,Vancouver,Wa,,"Vancouver Wa United States Hooligan's sports bar and grill 8220 NE Vancouver Plaza Dr, Vancouver, WA 98662"
South Texas 49ers Chapter,,,Harlingen,TX,,Harlingen TX United States Wing barn 412 sunny side ln
49ers Los Angeles,,,Hollywood,CA,,Hollywood CA United States Dave & Buster's Hollywood 6801 Hollywood Blvd.
49ers United Of Frisco TX,,,Frisco,TX,,Frisco TX United States The Frisco Bar and Grill 6750 Gaylord Pkwy
619ers San Diego Niner Empire,,,San Diego,California,,San Diego California United States Bridges Bar & Grill 4800 Art Street
626 FAITHFUL'S,,,City of Industry,California,,City of Industry California United States Hacienda Heights Pizza Co. 15239 E Gale Ave
Niner Empire 650 Chapter,,,Redwood City,CA,,Redwood City CA United States 5th Quarter 976 Woodside Rd
714 Niner Empire,,,Oxnard,CA,,"Oxnard CA United States Bottoms Up Tavern, 2162 West Lincoln Ave, Anaheim CA 92801 3206 Lisbon Lane"
9er Elite Niner Empire,,,Lake Elsinore,California,,Lake Elsinore California United States Pin 'n' Pockets 32250 Mission Trail
Az 49er Faithful,,,Gilbert,Az,,Gilbert Az United States Fox and Hound! 1017 E Baseline Rd
Niners Winers,,,Forestville,Ca,,Forestville Ca United States Bars and wineries in sonoma and napa counties River road
a_49er fan,,,wylie,texas,,wylie texas United States Wylie 922 cedar creek dr.
Niner Empire Marin,,,Novato,CA,,Novato CA United States Moylan's Brewery & Restaurant 15 Rowland Way
4T9 Mob,,,Modesto,ca,,Modesto ca United States Jack's pizza cafe 2001 Mchenry ave
North Eastern Pennsyvania chapter,,,Larksville,PA,,Larksville PA United States Zlo joes sports bar 234 Nesbitt St
PDX Frisco Fanatics,,,Portland,Or,,Portland Or United States Suki's bar and Grill 2401 sw 4th ave
The 101 Niner Empire,,,Morgan Hill,CA,,Morgan Hill CA United States Huntington Station restaurant and sports pub Huntington Station restaurant and sports pub
Faithful Tri-State Empire,,,Erie,PA,,Erie PA United States Buffalo Wild Wings 2099 Interchange Rd
YUMA Faithfuls,,,Yuma,AZ,,Yuma AZ United States Hooters 1519 S Yuma Palms Pkwy
49ER EMPIRE SF Bay Area Core Chapter,,,Fremont,california,,Fremont california United States Jack's Brewery 39176 Argonaut Way
Niner Empire Orlando Chapter,,,Orlando,FL,,Orlando FL United States Underground Public House 19 S Orange Ave
Niner Artillery Empire,,,517 E Gore Blvd,OK,,517 E Gore Blvd OK United States Sweet Play/ Mike's Sports Grill 2610 Sw Lee Blvd Suite 3 / 517 E Gore Blvd
510 Empire,,,Alameda,CA,,Alameda CA United States McGee's Bar and Grill 1645 Park ST
Garlic City Faithful,,,Gilroy,CA,,Gilroy CA United States Straw Hat Pizza 1053 1st Street
Faithful to the Bay,,,Merced,CA,,Merced CA United States Home Mountain mikes pizza
O.C. NINER EMPIRE FAITHFUL'S,,,Buena park,CA,,Buena park CA United States Ciro's pizza 6969 la Palma Ave
408 Faithfuls,,,Milpitas,CA,,Milpitas CA United States Big Al's Silicon Valley 27 Ranch Drive
415 chapter,,,san francisco,California,,san francisco California United States 49er Faithful house 2090 Bryant street
HairWorks,,,Denver,Co,,Denver Co United States Hair Works 2201 Lafayette at
49ers Room The Next Generation Of Faithfuls,,,Tlalnepantla de Baz,CA,,Tlalnepantla de Baz CA United States Buffalo Wild Wings Mindo E Blvd. Manuel Avila Camacho 1007
Niner Empire 209 Modesto Chapter,,,Modesto,CA,,Modesto CA United States Rivets American Grill 2307 Oakdale Rd
Lady Niners of Washington,,,Auburn,Wa,,Auburn Wa United States Sports Page 2802 Auburn Way N
AZ 49ER EMPIRE,,,Phoenix,AZ,,Phoenix AZ United States The Native New Yorker (Ahwatukee) 5030 E Ray Rd.
The Bulls Eye Bar 49ers,,,Montclair,California,,Montclair California United States Black Angus Montclair California 9415 Monte Vista Ave.
NoVa Tru9er Empire,,,Woodbridge,va,,Woodbridge va United States Morgan's sports bar & lounge 3081 galansky blvd
Niner Empire 951 Faithfuls,,,Hemet,CA,,"Hemet CA United States George's Pizza 2920 E. Florida Ave. Hemet, Ca. 2920 E. Florida Ave."
Spartan Niner Empire Texas,,,Arlington,TX,,Arlington TX United States Bombshells Restaurant & Bar 701 N. Watson Rd.
THEE EMPIRE FAITHFUL LOS ANGELES COUNTY,,,Los Angeles,CA,,Los Angeles CA United States Home 1422 Saybrook Ave
Niner Empire Richmond 510 Chapter,,,San Pablo,Ca,,San Pablo Ca United States Noya Lounge 14350 Laurie Lane
Thee Empire Faithful The Bay Area,,,Oakley,Ca,,Oakley Ca United States Sabrina's Pizzeria 2587 Main St
The Mid Atlantic Niner Empire Chapter,,,Mechanicsville,Va,,Mechanicsville Va United States The Ville 7526 Mechanicsville Turnpike
Big Sky SF 49ers,,,Billings,MT,,Billings MT United States Old Chicago - Billings 920 S 24th Street W
